"season","round.roundNumber","match.name","match.homeTeamId","match.awayTeamId","del_position","del_defense","del_offense","del_winning","home_win"
2014,6,"Western Bulldogs Vs Adelaide Crows","CD_T140","CD_T10",-0.166666666666667,-0.0555555555555556,-0.277777777777778,0,0
2014,6,"Richmond Vs Hawthorn","CD_T120","CD_T80",-0.444444444444444,-0.277777777777778,-0.333333333333333,-2,0
2014,6,"Port Adelaide Vs Geelong Cats","CD_T110","CD_T70",-0.0555555555555556,-0.0555555555555556,0.0555555555555556,-1,1
2014,7,"Carlton Vs Collingwood","CD_T30","CD_T40",-0.666666666666667,-0.75,-0.361111111111111,-2,0
2014,7,"Hawthorn Vs St Kilda","CD_T80","CD_T130",0.5,0.222222222222222,0.833333333333333,2,1
2014,7,"GWS Giants Vs Port Adelaide","CD_T1010","CD_T110",-0.722222222222222,-0.888888888888889,-0.388888888888889,-3,0
2014,7,"Adelaide Crows Vs Melbourne","CD_T10","CD_T90",0.388888888888889,-0.166666666666667,0.833333333333333,2,0
2014,7,"Brisbane Lions Vs Sydney Swans","CD_T20","CD_T160",-0.5,-0.722222222222222,-0.305555555555556,-2,0
2014,7,"Essendon Vs Western Bulldogs","CD_T50","CD_T140",0.166666666666667,0.222222222222222,-0.388888888888889,-1,1
2014,7,"North Melbourne Vs Gold Coast Suns","CD_T100","CD_T1000",0.0555555555555556,0.583333333333333,-0.333333333333333,1,0
2014,7,"Geelong Cats Vs Richmond","CD_T70","CD_T120",0.555555555555556,0.5,0.166666666666667,2,1
2014,7,"West Coast Eagles Vs Fremantle","CD_T150","CD_T60",0.0555555555555556,0.222222222222222,-0.277777777777778,0,0
2014,8,"Sydney Swans Vs Hawthorn","CD_T160","CD_T80",-0.333333333333333,-0.0555555555555556,-0.25,0,1
2014,8,"Port Adelaide Vs Fremantle","CD_T110","CD_T60",0.222222222222222,0.333333333333333,0.5,2,1
2014,8,"Brisbane Lions Vs Essendon","CD_T20","CD_T50",-0.444444444444444,-0.611111111111111,-0.25,-1,0
2014,8,"Melbourne Vs Western Bulldogs","CD_T90","CD_T140",-0.111111111111111,0.5,-0.472222222222222,0,0
2014,8,"West Coast Eagles Vs GWS Giants","CD_T150","CD_T1010",0.277777777777778,0.5,-0.361111111111111,0,1
2014,8,"St Kilda Vs Carlton","CD_T130","CD_T30",0.222222222222222,-0.0555555555555556,-0.194444444444444,-1,0
2014,9,"Adelaide Crows Vs Collingwood","CD_T10","CD_T40",-0.333333333333333,-0.0555555555555556,0.222222222222222,-1,1
2014,9,"Essendon Vs Sydney Swans","CD_T50","CD_T160",-0.277777777777778,-0.388888888888889,-0.5,-2,0
2014,9,"Richmond Vs Melbourne","CD_T120","CD_T90",0.111111111111111,0.111111111111111,-0.166666666666667,-1,0
2014,9,"North Melbourne Vs Brisbane Lions","CD_T100","CD_T20",0.444444444444444,0.666666666666667,0.0555555555555556,2,1
2014,9,"Fremantle Vs Geelong Cats","CD_T60","CD_T70",-0.277777777777778,-0.333333333333333,0.166666666666667,-2,1
2014,9,"St Kilda Vs Gold Coast Suns","CD_T130","CD_T1000",-0.444444444444444,-0.333333333333333,-0.222222222222222,-3,0
2014,10,"Geelong Cats Vs North Melbourne","CD_T70","CD_T100",0.166666666666667,-0.25,-0.111111111111111,0,1
2014,10,"GWS Giants Vs Richmond","CD_T1010","CD_T120",-0.0555555555555556,-0.472222222222222,0.333333333333333,-1,0
2014,10,"Collingwood Vs West Coast Eagles","CD_T40","CD_T150",0.0555555555555556,0.305555555555556,-0.444444444444444,3,1
2014,10,"Port Adelaide Vs Hawthorn","CD_T110","CD_T80",0.0555555555555556,-0.0555555555555556,-0.111111111111111,2,1
2014,10,"Gold Coast Suns Vs Western Bulldogs","CD_T1000","CD_T140",0.388888888888889,0.222222222222222,0.5,2,1
2014,10,"Carlton Vs Adelaide Crows","CD_T30","CD_T10",-0.166666666666667,-0.416666666666667,0.111111111111111,-1,1
2014,11,"Sydney Swans Vs Geelong Cats","CD_T160","CD_T70",-0.166666666666667,0.777777777777778,0.277777777777778,2,1
2014,11,"St Kilda Vs Collingwood","CD_T130","CD_T40",-0.555555555555556,-0.666666666666667,-0.444444444444444,-3,0
2014,11,"Melbourne Vs Port Adelaide","CD_T90","CD_T110",-0.777777777777778,0.111111111111111,-0.666666666666667,-3,0
2014,11,"Brisbane Lions Vs Carlton","CD_T20","CD_T30",-0.333333333333333,-0.222222222222222,-0.5,-3,1
2014,11,"Essendon Vs Richmond","CD_T50","CD_T120",0.111111111111111,0.166666666666667,-0.555555555555556,0,1
2014,11,"Adelaide Crows Vs Gold Coast Suns","CD_T10","CD_T1000",-0.388888888888889,0.416666666666667,-0.611111111111111,-2,1
2014,11,"Western Bulldogs Vs Fremantle","CD_T140","CD_T60",-0.388888888888889,-0.666666666666667,0.166666666666667,-1,0
2014,11,"Hawthorn Vs GWS Giants","CD_T80","CD_T1010",0.722222222222222,0.805555555555556,0.611111111111111,2,1
2014,11,"West Coast Eagles Vs North Melbourne","CD_T150","CD_T100",-0.0555555555555556,-0.222222222222222,0.111111111111111,-1,0
2014,12,"Geelong Cats Vs Carlton","CD_T70","CD_T30",0.333333333333333,-0.194444444444444,-0.333333333333333,-1,1
2014,12,"Hawthorn Vs West Coast Eagles","CD_T80","CD_T150",0.5,0.166666666666667,0.222222222222222,2,1
2014,12,"Port Adelaide Vs St Kilda","CD_T110","CD_T130",0.833333333333333,0.444444444444444,0.722222222222222,5,1
2014,12,"Western Bulldogs Vs Brisbane Lions","CD_T140","CD_T20",0.222222222222222,0.0555555555555556,0.111111111111111,-1,0
2014,12,"GWS Giants Vs Essendon","CD_T1010","CD_T50",-0.388888888888889,-0.777777777777778,-0.0555555555555556,-3,0
2014,12,"Gold Coast Suns Vs Sydney Swans","CD_T1000","CD_T160",-0.111111111111111,-0.638888888888889,-0.111111111111111,-1,0
2014,12,"Fremantle Vs Adelaide Crows","CD_T60","CD_T10",0.111111111111111,0.0555555555555556,0.0555555555555556,0,1
2014,12,"North Melbourne Vs Richmond","CD_T100","CD_T120",0.277777777777778,0.0555555555555556,0.0555555555555556,2,1
2014,12,"Melbourne Vs Collingwood","CD_T90","CD_T40",-0.611111111111111,-0.277777777777778,-0.388888888888889,-2,0
2014,13,"Carlton Vs Hawthorn","CD_T30","CD_T80",-0.555555555555556,0.166666666666667,-0.0555555555555556,-1,0
2014,13,"Richmond Vs Fremantle","CD_T120","CD_T60",-0.388888888888889,-0.472222222222222,0.111111111111111,-3,0
2014,13,"Sydney Swans Vs Port Adelaide","CD_T160","CD_T110",-0.111111111111111,0.166666666666667,0.0555555555555556,0,1
2014,13,"West Coast Eagles Vs Gold Coast Suns","CD_T150","CD_T1000",-0.166666666666667,-0.111111111111111,0.0555555555555556,-2,1
2014,13,"Brisbane Lions Vs GWS Giants","CD_T20","CD_T1010",0.111111111111111,0.388888888888889,0.111111111111111,2,0
2014,13,"Adelaide Crows Vs North Melbourne","CD_T10","CD_T100",-0.166666666666667,-0.166666666666667,-0.583333333333333,-1,1
2014,13,"Geelong Cats Vs St Kilda","CD_T70","CD_T130",0.666666666666667,0.0555555555555556,0.388888888888889,3,1
2014,13,"Collingwood Vs Western Bulldogs","CD_T40","CD_T140",0.555555555555556,0.694444444444444,0.25,3,0
2014,13,"Essendon Vs Melbourne","CD_T50","CD_T90",0.333333333333333,0.166666666666667,0.222222222222222,2,0
2014,14,"Richmond Vs Sydney Swans","CD_T120","CD_T160",-0.666666666666667,-0.722222222222222,-0.111111111111111,-4,0
2014,14,"Port Adelaide Vs Western Bulldogs","CD_T110","CD_T140",0.666666666666667,0.333333333333333,0.333333333333333,2,1
2014,14,"Hawthorn Vs Collingwood","CD_T80","CD_T40",0.222222222222222,0.0555555555555556,-0.166666666666667,0,1
2014,14,"Gold Coast Suns Vs Geelong Cats","CD_T1000","CD_T70",-0.222222222222222,-0.0555555555555556,0.277777777777778,-1,1
2014,14,"Fremantle Vs Brisbane Lions","CD_T60","CD_T20",0.666666666666667,0.722222222222222,0.333333333333333,2,1
2014,14,"Essendon Vs Adelaide Crows","CD_T50","CD_T10",0.0555555555555556,0.222222222222222,-0.277777777777778,0,1
2014,14,"GWS Giants Vs Carlton","CD_T1010","CD_T30",-0.222222222222222,-0.111111111111111,-0.166666666666667,-1,1
2014,14,"St Kilda Vs West Coast Eagles","CD_T130","CD_T150",-0.388888888888889,-0.277777777777778,-0.333333333333333,-2,0
2014,14,"Melbourne Vs North Melbourne","CD_T90","CD_T100",-0.388888888888889,0.333333333333333,-0.833333333333333,-1,0
2014,15,"Geelong Cats Vs Essendon","CD_T70","CD_T50",0.222222222222222,-0.611111111111111,0.5,0,1
2014,15,"Hawthorn Vs Gold Coast Suns","CD_T80","CD_T1000",0.333333333333333,0.0555555555555556,0.111111111111111,2,1
2014,15,"St Kilda Vs Richmond","CD_T130","CD_T120",-0.111111111111111,-0.388888888888889,-0.5,-1,0
2014,15,"Fremantle Vs West Coast Eagles","CD_T60","CD_T150",0.333333333333333,0.666666666666667,-0.166666666666667,3,1
2014,15,"Sydney Swans Vs GWS Giants","CD_T160","CD_T1010",0.611111111111111,0.777777777777778,-0.0555555555555556,3,1
2014,15,"Brisbane Lions Vs North Melbourne","CD_T20","CD_T100",-0.555555555555556,0.0555555555555556,-0.611111111111111,-1,1
2014,15,"Western Bulldogs Vs Melbourne","CD_T140","CD_T90",0.111111111111111,-0.777777777777778,0.166666666666667,-1,1
2014,15,"Adelaide Crows Vs Port Adelaide","CD_T10","CD_T110",-0.555555555555556,-0.222222222222222,-0.388888888888889,-2,1
2014,15,"Collingwood Vs Carlton","CD_T40","CD_T30",0.333333333333333,0.5,0.222222222222222,2,1
2014,16,"North Melbourne Vs Hawthorn","CD_T100","CD_T80",-0.333333333333333,0.222222222222222,-0.444444444444444,-2,1
2014,16,"Richmond Vs Brisbane Lions","CD_T120","CD_T20",0.222222222222222,0.111111111111111,0.111111111111111,-2,1
2014,16,"GWS Giants Vs Adelaide Crows","CD_T1010","CD_T10",-0.388888888888889,-0.111111111111111,-0.277777777777778,-1,0
2014,16,"Gold Coast Suns Vs Collingwood","CD_T1000","CD_T40",-0.111111111111111,-0.694444444444444,-0.388888888888889,-2,1
2014,16,"Melbourne Vs Fremantle","CD_T90","CD_T60",-0.611111111111111,-0.444444444444444,-0.722222222222222,-4,0
2014,16,"Port Adelaide Vs Essendon","CD_T110","CD_T50",0.444444444444444,-0.0833333333333333,0.388888888888889,0,0
2014,16,"Carlton Vs St Kilda","CD_T30","CD_T130",0.222222222222222,0.111111111111111,0.611111111111111,0,1
2014,16,"West Coast Eagles Vs Sydney Swans","CD_T150","CD_T160",-0.444444444444444,-0.555555555555556,-0.611111111111111,-3,0
2014,16,"Geelong Cats Vs Western Bulldogs","CD_T70","CD_T140",0.388888888888889,0.0555555555555556,0.388888888888889,1,1
2014,17,"Adelaide Crows Vs Hawthorn","CD_T10","CD_T80",-0.388888888888889,0.111111111111111,-0.111111111111111,-1,0
2014,17,"Melbourne Vs Geelong Cats","CD_T90","CD_T70",-0.611111111111111,-0.333333333333333,-0.666666666666667,-3,0
2014,17,"North Melbourne Vs St Kilda","CD_T100","CD_T130",0.611111111111111,0.5,0.555555555555556,3,1
2014,17,"Western Bulldogs Vs Gold Coast Suns","CD_T140","CD_T1000",-0.333333333333333,0.0555555555555556,-0.333333333333333,0,1
2014,17,"Brisbane Lions Vs West Coast Eagles","CD_T20","CD_T150",-0.333333333333333,-0.0555555555555556,-0.222222222222222,0,0
2014,17,"Sydney Swans Vs Carlton","CD_T160","CD_T30",0.666666666666667,0.777777777777778,-0.333333333333333,4,1
2014,17,"Richmond Vs Port Adelaide","CD_T120","CD_T110",-0.5,-0.222222222222222,-0.388888888888889,0,1
2014,17,"Essendon Vs Collingwood","CD_T50","CD_T40",-0.222222222222222,0.111111111111111,-0.0555555555555556,1,1
2014,17,"Fremantle Vs GWS Giants","CD_T60","CD_T1010",0.611111111111111,0.888888888888889,0.277777777777778,3,1
2014,18,"Carlton Vs North Melbourne","CD_T30","CD_T100",-0.444444444444444,-0.611111111111111,0.111111111111111,-2,1
2014,18,"St Kilda Vs Fremantle","CD_T130","CD_T60",-0.888888888888889,-0.944444444444444,-0.833333333333333,-5,1
2014,18,"GWS Giants Vs Geelong Cats","CD_T1010","CD_T70",-0.611111111111111,-0.777777777777778,-0.444444444444444,-2,0
2014,18,"Port Adelaide Vs Melbourne","CD_T110","CD_T90",0.611111111111111,0.222222222222222,0.555555555555556,0,1
2014,18,"Western Bulldogs Vs Essendon","CD_T140","CD_T50",-0.333333333333333,-0.388888888888889,-0.166666666666667,0,0
2014,18,"West Coast Eagles Vs Richmond","CD_T150","CD_T120",0.0555555555555556,-0.0555555555555556,-0.277777777777778,0,0
2014,18,"Brisbane Lions Vs Gold Coast Suns","CD_T20","CD_T1000",-0.444444444444444,0.0555555555555556,-0.388888888888889,-1,1
2014,18,"Hawthorn Vs Sydney Swans","CD_T80","CD_T160",-0.111111111111111,-0.388888888888889,0.222222222222222,-1,1
2014,18,"Collingwood Vs Adelaide Crows","CD_T40","CD_T10",0.111111111111111,-0.388888888888889,-0.722222222222222,-2,0
2014,19,"Fremantle Vs Carlton","CD_T60","CD_T30",0.5,0.666666666666667,0.0555555555555556,2,1
2014,19,"Sydney Swans Vs Essendon","CD_T160","CD_T50",0.333333333333333,0.222222222222222,0.111111111111111,0,1
2014,19,"Adelaide Crows Vs West Coast Eagles","CD_T10","CD_T150",0.166666666666667,-0.333333333333333,0.777777777777778,1,0
